p_val	avg_log2FC	pct.1	pct.2	p_val_adj	cluster	gene
CD3D	0	0.997558157722126	0.398	0.096	0	0	CD3D
RPL21	0	0.86560546785707	1	1	0	0	RPL21
RPS27	0	0.850236423625295	1	1	0	0	RPS27
RPS29	0	0.837979771775467	1	0.998	0	0	RPS29
RPS12	0	0.784391784234367	1	1	0	0	RPS12
RPL13	0	0.771908822782697	1	0.998	0	0	RPL13
TRAC	0	0.76857170531847	0.591	0.269	0	0	TRAC
RPS25	0	0.76010845975234	1	0.976	0	0	RPS25
RPL34	0	0.759405014323585	1	0.994	0	0	RPL34
RPL32	0	0.731360796760458	1	0.998	0	0	RPL32
RPS15A	0	0.722335049496438	1	0.998	0	0	RPS15A
RPS18	0	0.721951234052057	1	0.998	0	0	RPS18
CD3E	0	0.703145553825917	0.324	0.061	0	0	CD3E
RPL36	0	0.687712148135536	1	0.982	0	0	RPL36
RPLP2	0	0.679664962336575	1	0.996	0	0	RPLP2
RPS14	0	0.674283070612463	1	0.996	0	0	RPS14
RPS27A	0	0.6707458931049	1	0.997	0	0	RPS27A
RPS6	0	0.662851754920885	1	0.994	0	0	RPS6
RPL35A	0	0.653357037451898	1	0.988	0	0	RPL35A
RPL12	0	0.652258795178919	1	0.984	0	0	RPL12
RPL17	0	0.645307968071426	0.951	0.73	0	0	RPL17
RPS8	0	0.641904411848384	1	0.981	0	0	RPS8
RPL9	0	0.64121080920848	1	0.971	0	0	RPL9
RPS19	0	0.638775450681926	1	0.995	0	0	RPS19
RPS28	0	0.63774573133903	1	0.992	0	0	RPS28
RPL31	0	0.637534613062554	1	0.983	0	0	RPL31
RPS13	0	0.623930746485981	1	0.966	0	0	RPS13
RPL3	0	0.618591721366715	1	0.978	0	0	RPL3
RPL41	0	0.611458230328188	1	0.996	0	0	RPL41
RPL10A	0	0.609585695996904	1	0.961	0	0	RPL10A
RPL30	0	0.606391852943654	1	0.982	0	0	RPL30
RPL18A	0	0.590850267486537	1	0.998	0	0	RPL18A
RPL38	0	0.579367524513485	1	0.958	0	0	RPL38
RPS16	0	0.578208936907218	1	0.971	0	0	RPS16
RPS5	0	0.576874964557061	1	0.974	0	0	RPS5
LDHB	0	0.573551228623344	0.882	0.62	0	0	LDHB
RPL27	0	0.570761262986473	1	0.938	0	0	RPL27
RPL13A	0	0.570271945685259	1	0.997	0	0	RPL13A
EEF1A1	0	0.567355903136871	1	0.996	0	0	EEF1A1
CD7	0	0.565916822236538	0.273	0.054	0	0	CD7
RPL11	0	0.562229989483084	1	0.996	0	0	RPL11
RPL10	0	0.557419127929434	1	0.999	0	0	RPL10
RPL5	0	0.554320109421032	1	0.942	0	0	RPL5
RPL39	0	0.554156987848871	1	0.99	0	0	RPL39
RPL22	0	0.54567148877508	1	0.934	0	0	RPL22
RPS17	0	0.539208341182709	1	0.99	0	0	RPS17
RPL6	0	0.533345346534888	1	0.955	0	0	RPL6
RPL27A	0	0.533310406870005	1	0.988	0	0	RPL27A
RPS2	0	0.532800680538852	1	0.988	0	0	RPS2
RPS3A	0	0.530983826950075	1	0.995	0	0	RPS3A
RPL4	0	0.52978523486999	0.998	0.933	0	0	RPL4
RPL18	0	0.520147441639253	1	0.96	0	0	RPL18
RPL37	0	0.514494822494937	1	0.985	0	0	RPL37
RPSA	0	0.508048227313726	0.999	0.936	0	0	RPSA
RPL14	0	0.503599716145613	1	0.965	0	0	RPL14
RPS3	0	0.50334867846603	1	0.993	0	0	RPS3
RPS23	0	0.49160176370015	1	0.988	0	0	RPS23
RPL29	0	0.466644863124754	1	0.982	0	0	RPL29
RPL37A	0	0.464919489788868	1	0.986	0	0	RPL37A
RPL28	0	0.463755280595256	1	0.986	0	0	RPL28
RPL35	0	0.461708544650791	1	0.98	0	0	RPL35
RPS15	0	0.430237343423339	1	0.996	0	0	RPS15
