p_val	avg_log2FC	pct.1	pct.2	p_val_adj	cluster	gene
FOS	0	1.38733171627384	0.992	0.858	0	0	FOS
SOX4	1.77484238080761e-287	1.18063908431879	0.998	0.903	2.78455021124906e-283	0	SOX4
DNTT	3.65701670923556e-273	0.952703084606912	0.999	0.902	5.73749351511967e-269	0	DNTT
RP11-231E4.2	1.43981134687991e-241	1.11029290339233	0.732	0.221	2.25892002211989e-237	0	RP11-231E4.2
CD69	5.16321187108208e-238	1.16409443795193	0.945	0.62	8.10056310454068e-234	0	CD69
JUN	2.87818958774663e-235	1.32852804406751	0.968	0.742	4.51559164421568e-231	0	JUN
FOSB	9.75207523804285e-225	1.02555472379639	0.889	0.481	1.53000308409654e-220	0	FOSB
TCF4	3.25654374339417e-219	0.899413876426665	0.974	0.794	5.10919147901112e-215	0	TCF4
IER2	1.54444785707845e-212	1.07305513647806	0.942	0.676	2.42308424297037e-208	0	IER2
PTPRE	3.45732714017517e-207	0.893743652913952	0.902	0.519	5.42420055022082e-203	0	PTPRE
FYB	6.22492327612569e-204	0.822898003680131	0.593	0.138	9.76628212791359e-200	0	FYB
PPP1R15A	4.14953689255586e-201	0.898544808411909	0.94	0.686	6.51020843073089e-197	0	PPP1R15A
RP11-356I2.4	6.5969489603082e-199	0.922387495208895	0.629	0.185	1.03499532238275e-194	0	RP11-356I2.4
PNISR	8.68509865350205e-189	0.77078972467575	0.984	0.879	1.36260512774794e-184	0	PNISR
KLF6	1.17365959696215e-188	0.983873123251811	0.972	0.801	1.84135454167392e-184	0	KLF6
EGR1	1.06625918556139e-186	1.01318744884396	0.655	0.211	1.67285403622726e-182	0	EGR1
SLC35E3	3.39559062747641e-184	0.981228383001439	0.825	0.458	5.32734213544774e-180	0	SLC35E3
DDX3X	1.33022469505134e-168	0.823582264144423	0.875	0.554	2.08698952406605e-164	0	DDX3X
HLA-DRB5	4.01805919834083e-167	0.729696332317086	0.747	0.29	6.30393307627693e-163	0	HLA-DRB5
DDX5	6.4265460776851e-166	0.666662825130098	0.997	0.97	1.00826081412802e-161	0	DDX5
NPY	1.67881909149073e-165	0.848461116556506	0.779	0.345	2.63389927263981e-161	0	NPY
TERF2	1.64241185642121e-162	0.791750604824859	0.794	0.398	2.57677996153924e-158	0	TERF2
DPEP1	3.10654506065093e-162	0.737313689999476	0.603	0.192	4.87385854565524e-158	0	DPEP1
CLEC4E	7.93366826272686e-159	0.698020138935485	0.499	0.116	1.24471321373922e-154	0	CLEC4E
NEAT1	2.34596760299282e-157	0.804435564402627	0.974	0.802	3.68058857233543e-153	0	NEAT1
NR3C1	6.45257453695757e-154	0.782757900587473	0.781	0.412	1.01234441910327e-149	0	NR3C1
PDGFA	3.48188956997816e-150	0.675414107971689	0.485	0.115	5.46273654633874e-146	0	PDGFA
UHRF1	1.14142834558952e-148	0.759325554363691	0.823	0.428	1.79078693139539e-144	0	UHRF1
ERG	2.65173777968459e-147	0.709206577018187	0.658	0.263	4.16031140254715e-143	0	ERG
XBP1	6.60079666848202e-145	0.741248134528075	0.941	0.711	1.03559898931814e-140	0	XBP1
SOD2	6.71400256070792e-144	0.7811153027477	0.744	0.365	1.05335986174947e-139	0	SOD2
CCND3	2.20281080140375e-141	0.618466733777605	0.988	0.859	3.45598986632235e-137	0	CCND3
UBE2J1	2.45283590635124e-141	0.724543907030393	0.845	0.522	3.84825425347447e-137	0	UBE2J1
SON	9.17769335338317e-141	0.603935182688782	0.982	0.886	1.43988831021229e-136	0	SON
MLXIP	1.99619469181494e-138	0.707926455614341	0.808	0.463	3.13182985198846e-134	0	MLXIP
HLA-B	2.54478647951055e-128	0.525455922152864	1	0.977	3.99251550770411e-124	0	HLA-B
CD164	3.06620900693447e-128	0.695288726888695	0.786	0.446	4.81057531097949e-124	0	CD164
LPAR6	1.09592992687717e-125	0.624134111923925	0.585	0.211	1.71940446227759e-121	0	LPAR6
HMGN1	2.63490789008519e-125	0.503483025648439	0.995	0.942	4.13390698875466e-121	0	HMGN1
TTC3	5.03962673528075e-123	0.655874487897824	0.858	0.598	7.90667038498197e-119	0	TTC3
ETS2	2.4709706266475e-122	0.651404513768693	0.72	0.379	3.87670581614726e-118	0	ETS2
F2RL3	1.90343870556968e-121	0.506275460885023	0.347	0.06	2.98630498516827e-117	0	F2RL3
TPM4	1.25979406373473e-120	0.651047944116552	0.761	0.446	1.97649090659342e-116	0	TPM4
SRSF5	7.14439929036601e-119	0.530440911555746	0.993	0.949	1.12088480466552e-114	0	SRSF5
STIM2	7.19762785735468e-119	0.690240704439318	0.816	0.505	1.12923583454038e-114	0	STIM2
FTL	1.0041453181984e-114	0.495166917656442	0.999	0.986	1.57540358972148e-110	0	FTL
LINC01013	1.79606904980428e-114	0.716096164397582	0.725	0.412	2.81785273223794e-110	0	LINC01013
NEIL1	6.25992915958656e-114	0.708739563045003	0.744	0.392	9.82120285847535e-110	0	NEIL1
PHIP	1.62756443511259e-113	0.608693219383134	0.727	0.393	2.55348584224814e-109	0	PHIP
ID2	1.44532532642759e-112	0.784443687362427	0.661	0.328	2.26757090463224e-108	0	ID2
CCNI	1.594337073588e-112	0.50614065127102	0.991	0.934	2.50135543475222e-108	0	CCNI
FTH1	1.56355986995156e-110	0.449979686312597	1	0.99	2.453069079967e-106	0	FTH1
NFKBID	4.79726112518663e-108	0.574630950611513	0.529	0.195	7.5264229793053e-104	0	NFKBID
DENND3	6.86718086024228e-108	0.534103751542106	0.584	0.25	1.07739200516341e-103	0	DENND3
ATRX	8.26692200066427e-108	0.557335371301021	0.908	0.693	1.29699739268422e-103	0	ATRX
BCLAF1	1.23850222706915e-101	0.594175334739144	0.792	0.512	1.94308614404879e-97	0	BCLAF1
HSP90AA1	1.16036095964144e-100	0.47125454812642	0.998	0.986	1.82049030958146e-96	0	HSP90AA1
