"","source","target","ligand","receptor","prob","pval","interaction_name","interaction_name_2","pathway_name","annotation","evidence"
"1","Cytotoxic NK/T cells","B cells 1","TGFB1","TGFbR1_R2",0.000224832106564173,0,"TGFB1_TGFBR1_TGFBR2","TGFB1 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350"
"2","Cytotoxic NK/T cells","Cytotoxic NK/T cells","TGFB1","TGFbR1_R2",3.61590379047212e-05,0,"TGFB1_TGFBR1_TGFBR2","TGFB1 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350"
"3","Cytotoxic NK/T cells","B cells 1","TGFB1","ACVR1B_TGFbR2",4.09121598924005e-05,0,"TGFB1_ACVR1B_TGFBR2","TGFB1 - (ACVR1B+TGFBR2)","TGFb","Secreted Signaling","PMID: 27449815"
"4","Cytotoxic NK/T cells","Cytotoxic NK/T cells","TGFB1","ACVR1B_TGFbR2",6.96372111114559e-06,0,"TGFB1_ACVR1B_TGFBR2","TGFB1 - (ACVR1B+TGFBR2)","TGFb","Secreted Signaling","PMID: 27449815"
"5","Cytotoxic NK/T cells","B cells 1","TGFB1","ACVR1_TGFbR",4.6494526454548e-05,0,"TGFB1_ACVR1_TGFBR1","TGFB1 - (ACVR1+TGFBR1)","TGFb","Secreted Signaling","PMID: 29376829"
"6","Cytotoxic NK/T cells","Cytotoxic NK/T cells","TGFB1","ACVR1_TGFbR",8.55789455186895e-06,0,"TGFB1_ACVR1_TGFBR1","TGFB1 - (ACVR1+TGFBR1)","TGFb","Secreted Signaling","PMID: 29376829"
"7","B cells 1","B cells 1","FGF5","FGFR1",3.00059751275233e-09,0,"FGF5_FGFR1","FGF5 - FGFR1","FGF","Secreted Signaling","PMC: 4393358"
"8","B cells 1","B cells 1","PDGFA","PDGFRB",1.53699201407931e-05,0,"PDGFA_PDGFRB","PDGFA - PDGFRB","PDGF","Secreted Signaling","PMID: 15207812"
"9","Cytotoxic NK/T cells","B cells 1","PDGFA","PDGFRB",3.12435186271927e-06,0.03,"PDGFA_PDGFRB","PDGFA - PDGFRB","PDGF","Secreted Signaling","PMID: 15207812"
"10","Cytotoxic NK/T cells","B cells 1","CCL5","CCR1",8.09397814479419e-05,0,"CCL5_CCR1","CCL5 - CCR1","CCL","Secreted Signaling","KEGG: hsa04060"
"11","B cells 1","Cytotoxic NK/T cells","CCL5","CCR1",8.09397814479421e-05,0,"CCL5_CCR1","CCL5 - CCR1","CCL","Secreted Signaling","KEGG: hsa04060"
"12","Cytotoxic NK/T cells","Cytotoxic NK/T cells","CCL5","CCR1",0.000284601349070378,0,"CCL5_CCR1","CCL5 - CCR1","CCL","Secreted Signaling","KEGG: hsa04060"
"13","Cytotoxic NK/T cells","B cells 1","CCL3","CCR1",0.000101063531138362,0,"CCL3_CCR1","CCL3 - CCR1","CCL","Secreted Signaling","KEGG: hsa04060"
"14","B cells 1","Cytotoxic NK/T cells","CCL3","CCR1",0.000120536475254068,0,"CCL3_CCR1","CCL3 - CCR1","CCL","Secreted Signaling","KEGG: hsa04060"
"15","Cytotoxic NK/T cells","Cytotoxic NK/T cells","CCL3","CCR1",0.000354539761665139,0,"CCL3_CCR1","CCL3 - CCR1","CCL","Secreted Signaling","KEGG: hsa04060"
"16","Cytotoxic NK/T cells","B cells 1","CCL3L3","CCR1",0.000165420865427199,0,"CCL3L3_CCR1","CCL3L3 - CCR1","CCL","Secreted Signaling","KEGG: hsa04060"
"17","Cytotoxic NK/T cells","Cytotoxic NK/T cells","CCL3L3","CCR1",0.000576055032215048,0,"CCL3L3_CCR1","CCL3L3 - CCR1","CCL","Secreted Signaling","KEGG: hsa04060"
"18","Cytotoxic NK/T cells","B cells 1","CCL4","CCR5",0.000888433612211703,0,"CCL4_CCR5","CCL4 - CCR5","CCL","Secreted Signaling","KEGG: hsa04060"
"19","B cells 1","Cytotoxic NK/T cells","CCL4","CCR5",0.000171777265772426,0,"CCL4_CCR5","CCL4 - CCR5","CCL","Secreted Signaling","KEGG: hsa04060"
"20","Cytotoxic NK/T cells","Cytotoxic NK/T cells","CCL4","CCR5",0.000451920394128701,0,"CCL4_CCR5","CCL4 - CCR5","CCL","Secreted Signaling","KEGG: hsa04060"
"21","Cytotoxic NK/T cells","B cells 1","CCL5","CCR5",0.000825528430836882,0,"CCL5_CCR5","CCL5 - CCR5","CCL","Secreted Signaling","KEGG: hsa04060"
"22","B cells 1","Cytotoxic NK/T cells","CCL5","CCR5",0.000120042287401591,0,"CCL5_CCR5","CCL5 - CCR5","CCL","Secreted Signaling","KEGG: hsa04060"
