"","source","target","ligand","receptor","prob","pval","interaction_name","interaction_name_2","pathway_name","annotation","evidence"
"1","B cells 1","B cells 1","TGFB1","TGFbR1_R2",0.000130937914719039,0,"TGFB1_TGFBR1_TGFBR2","TGFB1 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350"
"2","Hematopoietic Stem cells 1","B cells 1","TGFB1","TGFbR1_R2",4.85170512263556e-05,0,"TGFB1_TGFBR1_TGFBR2","TGFB1 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350"
"3","Hematopoietic Stem cells 2","B cells 1","TGFB1","TGFbR1_R2",8.02063310660373e-05,0,"TGFB1_TGFBR1_TGFBR2","TGFB1 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350"
"4","Hematopoietic Stem cells 3","B cells 1","TGFB1","TGFbR1_R2",2.57912796224734e-05,0,"TGFB1_TGFBR1_TGFBR2","TGFB1 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350"
"5","B cells 1","Hematopoietic Stem cells 1","TGFB1","TGFbR1_R2",3.61099017030012e-05,0.01,"TGFB1_TGFBR1_TGFBR2","TGFB1 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350"
"6","Hematopoietic Stem cells 1","Hematopoietic Stem cells 1","TGFB1","TGFbR1_R2",1.33800180404384e-05,0,"TGFB1_TGFBR1_TGFBR2","TGFB1 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350"
"7","Hematopoietic Stem cells 2","Hematopoietic Stem cells 1","TGFB1","TGFbR1_R2",2.21192062395284e-05,0.01,"TGFB1_TGFBR1_TGFBR2","TGFB1 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350"
"8","Hematopoietic Stem cells 3","Hematopoietic Stem cells 1","TGFB1","TGFbR1_R2",7.11274457105448e-06,0,"TGFB1_TGFBR1_TGFBR2","TGFB1 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350"
"9","B cells 1","B cells 1","TGFB1","ACVR1B_TGFbR2",2.38072917311703e-05,0,"TGFB1_ACVR1B_TGFBR2","TGFB1 - (ACVR1B+TGFBR2)","TGFb","Secreted Signaling","PMID: 27449815"
"10","Hematopoietic Stem cells 1","B cells 1","TGFB1","ACVR1B_TGFbR2",8.8215279402303e-06,0,"TGFB1_ACVR1B_TGFBR2","TGFB1 - (ACVR1B+TGFBR2)","TGFb","Secreted Signaling","PMID: 27449815"
"11","Hematopoietic Stem cells 2","B cells 1","TGFB1","ACVR1B_TGFbR2",1.45832133334482e-05,0,"TGFB1_ACVR1B_TGFBR2","TGFB1 - (ACVR1B+TGFBR2)","TGFb","Secreted Signaling","PMID: 27449815"
"12","Hematopoietic Stem cells 3","B cells 1","TGFB1","ACVR1B_TGFbR2",4.68952895653584e-06,0,"TGFB1_ACVR1B_TGFBR2","TGFB1 - (ACVR1B+TGFBR2)","TGFb","Secreted Signaling","PMID: 27449815"
"13","B cells 1","Hematopoietic Stem cells 1","TGFB1","ACVR1B_TGFbR2",7.41803197250002e-06,0,"TGFB1_ACVR1B_TGFBR2","TGFB1 - (ACVR1B+TGFBR2)","TGFb","Secreted Signaling","PMID: 27449815"
"14","Hematopoietic Stem cells 1","Hematopoietic Stem cells 1","TGFB1","ACVR1B_TGFbR2",2.74867044126705e-06,0,"TGFB1_ACVR1B_TGFBR2","TGFB1 - (ACVR1B+TGFBR2)","TGFb","Secreted Signaling","PMID: 27449815"
"15","Hematopoietic Stem cells 2","Hematopoietic Stem cells 1","TGFB1","ACVR1B_TGFbR2",4.54393317932515e-06,0,"TGFB1_ACVR1B_TGFBR2","TGFB1 - (ACVR1B+TGFBR2)","TGFb","Secreted Signaling","PMID: 27449815"
