"","source","target","pathway_name","prob","pval"
"1","B cells 1","B cells 1","BAFF",1.42038356556462e-09,0
"2","B cells 1","B cells 1","CD22",0.000399945350856426,0
"3","B cells 1","B cells 1","CD23",1.9687816533936e-09,0.01
"4","B cells 1","B cells 1","CD45",0.000399945350856426,0
"5","B cells 1","B cells 1","EPHB",6.92172810717273e-07,0
"6","B cells 1","B cells 1","FGF",9.31382257145664e-10,0
"7","B cells 1","B cells 1","GALECTIN",0.000770168890696333,0
"8","B cells 1","B cells 1","GP1BA",1.76300648433405e-08,0.03
"9","B cells 1","B cells 1","IL1",0.00144970977413638,0
"10","B cells 1","B cells 1","MHC-I",0.0175493060250203,0
"11","B cells 1","B cells 1","MHC-II",0.0505405633092294,0
"12","B cells 1","B cells 1","MIF",6.48121214389114e-05,0
"13","B cells 1","B cells 1","MK",0.000522495029772613,0
"14","B cells 1","B cells 1","MPZ",6.36675047846018e-07,0
"15","B cells 1","B cells 1","NPR2",7.6388431512956e-09,0.01
"16","B cells 1","B cells 1","PDGF",4.77080676499984e-06,0
"17","B cells 1","B cells 1","PECAM1",0.000770168890696333,0
"18","B cells 1","B cells 1","SEMA4",4.53466212730517e-07,0
"19","B cells 1","B cells 1","TGFb",0.000181808284803992,0
"20","B cells 1","B cells 1","VEGF",4.23558472322035e-08,0
"21","B cells 1","Hematopoietic Stem cells 1","BAFF",2.91189130605333e-08,0
"22","B cells 1","Hematopoietic Stem cells 1","BTLA",3.67882051880506e-09,0
"23","B cells 1","Hematopoietic Stem cells 1","CD23",2.12366112466527e-07,0.02
"24","B cells 1","Hematopoietic Stem cells 1","CD45",0.000144888985795258,0.03
"25","B cells 1","Hematopoietic Stem cells 1","COLLAGEN",9.2460623339795e-07,0
"26","B cells 1","Hematopoietic Stem cells 1","EPHA",1.28849641483561e-07,0
"27","B cells 1","Hematopoietic Stem cells 1","EPHB",3.35015285332619e-07,0
"28","B cells 1","Hematopoietic Stem cells 1","FGF",3.16077591233749e-08,0
"29","B cells 1","Hematopoietic Stem cells 1","GALECTIN",0.000145741741504753,0
"30","B cells 1","Hematopoietic Stem cells 1","GP1BA",6.82317331368901e-09,0.02
"31","B cells 1","Hematopoietic Stem cells 1","ICAM",9.00390365156065e-07,0.04
"32","B cells 1","Hematopoietic Stem cells 1","IGF",1.2472846293469e-08,0
"33","B cells 1","Hematopoietic Stem cells 1","IL1",0.000525515714591347,0
"34","B cells 1","Hematopoietic Stem cells 1","LT",8.2293620132463e-05,0
"35","B cells 1","Hematopoietic Stem cells 1","MHC-I",0.00342123482693594,0
"36","B cells 1","Hematopoietic Stem cells 1","MIF",2.56033921059002e-05,0
