Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_BP_DIRECT	GO:0002504~antigen processing and presentation of peptide or polysaccharide antigen via MHC class II	12	3.1914893617021276	7.956553084015402E-15	HLA-DMA, HLA-DRB5, HLA-DMB, HLA-B, HLA-DPB1, HLA-DRA, HLA-A, HLA-DOA, HLA-DRB1, HLA-DQA1, HLA-DPA1, HLA-DQB1	351	20	19453	33.25299145299146	1.644284708390842E-11	1.6366629693819682E-11	1.6191585525971344E-11
GOTERM_BP_DIRECT	GO:0019882~antigen processing and presentation	14	3.723404255319149	7.207696505919004E-13	HLA-DRB5, HLA-B, HLA-C, HLA-A, PSMB8, HLA-E, HLA-DMA, HLA-DMB, HLA-DPB1, HLA-DRA, HLA-DQA1, HLA-DRB1, HLA-DPA1, HLA-DQB1	351	45	19453	17.242291864514087	1.4825967120657424E-9	7.413115856337696E-10	7.333831194772587E-10
GOTERM_BP_DIRECT	GO:0002503~peptide antigen assembly with MHC class II protein complex	10	2.6595744680851063	3.819722726996296E-12	HLA-DMA, HLA-DRB5, HLA-DMB, HLA-DPB1, HLA-DRA, HLA-DOA, HLA-DRB1, HLA-DQA1, HLA-DPA1, HLA-DQB1	351	17	19453	32.60097201273672	7.857168804470405E-9	2.6190565498104602E-9	2.591045249812488E-9
GOTERM_BP_DIRECT	GO:0002480~antigen processing and presentation of exogenous peptide antigen via MHC class I, TAP-independent	7	1.8617021276595744	8.830843276149401E-10	HLA-B, HLA-DPB1, HLA-C, HLA-A, HLA-F, HLA-E, HLA-DQB1	351	8	19453	48.493945868945865	1.8165026992589262E-6	4.541261154759829E-7	4.4926915167410073E-7
GOTERM_BP_DIRECT	GO:0019886~antigen processing and presentation of exogenous peptide antigen via MHC class II	10	2.6595744680851063	3.4730030908365362E-9	HLA-DMA, HLA-DRB5, HLA-DMB, HLA-DPB1, HLA-DRA, HLA-DOA, HLA-DRB1, HLA-DQA1, HLA-DPA1, HLA-DQB1	351	32	19453	17.319266381766383	7.143941886056382E-6	1.428793471570151E-6	1.4135122579704702E-6
GOTERM_BP_DIRECT	GO:0050870~positive regulation of T cell activation	10	2.6595744680851063	6.2916874921659915E-9	HLA-DMA, HLA-DRB5, HLA-DMB, HLA-DPB1, HLA-DRA, HLA-DOA, HLA-DRB1, HLA-DQA1, HLA-DPA1, HLA-DQB1	351	34	19453	16.30048600636836	1.2941917489794896E-5	2.1570001952309073E-6	2.133930674426299E-6
GOTERM_BP_DIRECT	GO:0050778~positive regulation of immune response	10	2.6595744680851063	1.422922975425244E-8	HLA-DMA, HLA-DRB5, HLA-DMB, HLA-DPB1, HLA-DRA, HLA-DOA, HLA-DRB1, HLA-DQA1, HLA-DPA1, HLA-DQB1	351	37	19453	14.978824978824978	2.9269097546968936E-5	4.1813608006424664E-6	4.136640364271959E-6
GOTERM_BP_DIRECT	GO:0060333~interferon-gamma-mediated signaling pathway	9	2.393617021276596	2.3020546339569502E-8	IFNGR1, IFNGR2, HLA-B, HLA-DPB1, HLA-C, HLA-A, HLA-F, HLA-E, HLA-DQB1	351	28	19453	17.814102564102566	4.735214325546355E-5	5.9191579775618085E-6	5.855851475127992E-6
GOTERM_BP_DIRECT	GO:0045321~leukocyte activation	7	1.8617021276595744	2.741581073830931E-8	HLA-B, HLA-DPB1, HLA-C, HLA-A, HLA-F, HLA-E, HLA-DQB1	351	12	19453	32.329297245963915	5.6392733320365096E-5	6.26603585430025E-6	6.19901942805105E-6
GOTERM_BP_DIRECT	GO:0001916~positive regulation of T cell mediated cytotoxicity	9	2.393617021276596	1.9767553200179118E-7	STX7, HLA-B, TAP2, HLA-DRA, HLA-C, HLA-A, HLA-F, HLA-DRB1, HLA-E	351	36	19453	13.855413105413104	4.0653595148198995E-4	4.066185693276845E-5	4.022697076236451E-5
